"homestatecode","salestatecode","month","year","txn_count","salestatename","homestatename"
"05","01","09","2025","16","JAMMU AND KASHMIR","UTTARAKHAND"
"06","01","09","2025","4","JAMMU AND KASHMIR","HARYANA"
"07","01","09","2025","10","JAMMU AND KASHMIR","DELHI"
"08","01","09","2025","4","JAMMU AND KASHMIR","RAJASTHAN"
"09","01","09","2025","6397","JAMMU AND KASHMIR","UTTAR PRADESH"
"10","01","09","2025","4185","JAMMU AND KASHMIR","BIHAR"
"18","01","09","2025","8","JAMMU AND KASHMIR","ASSAM"
"19","01","09","2025","5","JAMMU AND KASHMIR","WEST BENGAL"
"20","01","09","2025","47","JAMMU AND KASHMIR","JHARKHAND"
"23","01","09","2025","1434","JAMMU AND KASHMIR","MADHYA PRADESH"
"24","01","09","2025","1","JAMMU AND KASHMIR","GUJARAT"
"27","01","09","2025","2","JAMMU AND KASHMIR","MAHARASHTRA"
"05","02","09","2025","47","HIMACHAL PRADESH","UTTARAKHAND"
"06","02","09","2025","5","HIMACHAL PRADESH","HARYANA"
"07","02","09","2025","20","HIMACHAL PRADESH","DELHI"
"08","02","09","2025","8","HIMACHAL PRADESH","RAJASTHAN"
"09","02","09","2025","9288","HIMACHAL PRADESH","UTTAR PRADESH"
"10","02","09","2025","7221","HIMACHAL PRADESH","BIHAR"
"19","02","09","2025","15","HIMACHAL PRADESH","WEST BENGAL"
"20","02","09","2025","163","HIMACHAL PRADESH","JHARKHAND"
"21","02","09","2025","1","HIMACHAL PRADESH","ODISHA"
"23","02","09","2025","297","HIMACHAL PRADESH","MADHYA PRADESH"
"27","02","09","2025","2","HIMACHAL PRADESH","MAHARASHTRA"
"02","03","09","2025","2","PUNJAB","HIMACHAL PRADESH"
"05","03","09","2025","10","PUNJAB","UTTARAKHAND"
"07","03","09","2025","22","PUNJAB","DELHI"
"08","03","09","2025","7","PUNJAB","RAJASTHAN"
"09","03","09","2025","2191","PUNJAB","UTTAR PRADESH"
"10","03","09","2025","3204","PUNJAB","BIHAR"
"18","03","09","2025","3","PUNJAB","ASSAM"
"19","03","09","2025","1","PUNJAB","WEST BENGAL"
"20","03","09","2025","45","PUNJAB","JHARKHAND"
"21","03","09","2025","1","PUNJAB","ODISHA"
"23","03","09","2025","37","PUNJAB","MADHYA PRADESH"
"27","03","09","2025","1","PUNJAB","MAHARASHTRA"
"29","03","09","2025","1","PUNJAB","KARNATAKA"
"05","04","09","2025","4","CHANDIGARH","UTTARAKHAND"
"06","04","09","2025","1","CHANDIGARH","HARYANA"
"09","04","09","2025","18","CHANDIGARH","UTTAR PRADESH"
"10","04","09","2025","22","CHANDIGARH","BIHAR"
"06","05","09","2025","11","UTTARAKHAND","HARYANA"
"07","05","09","2025","131","UTTARAKHAND","DELHI"
"08","05","09","2025","14","UTTARAKHAND","RAJASTHAN"
"09","05","09","2025","13843","UTTARAKHAND","UTTAR PRADESH"
"10","05","09","2025","3988","UTTARAKHAND","BIHAR"
"18","05","09","2025","7","UTTARAKHAND","ASSAM"
"19","05","09","2025","6","UTTARAKHAND","WEST BENGAL"
"20","05","09","2025","19","UTTARAKHAND","JHARKHAND"
"21","05","09","2025","1","UTTARAKHAND","ODISHA"
"23","05","09","2025","68","UTTARAKHAND","MADHYA PRADESH"
"27","05","09","2025","7","UTTARAKHAND","MAHARASHTRA"
"02","06","09","2025","5","HARYANA","HIMACHAL PRADESH"
"05","06","09","2025","217","HARYANA","UTTARAKHAND"
"07","06","09","2025","434","HARYANA","DELHI"
"08","06","09","2025","1017","HARYANA","RAJASTHAN"
"09","06","09","2025","27342","HARYANA","UTTAR PRADESH"
"10","06","09","2025","28059","HARYANA","BIHAR"
"18","06","09","2025","48","HARYANA","ASSAM"
"19","06","09","2025","95","HARYANA","WEST BENGAL"
"20","06","09","2025","326","HARYANA","JHARKHAND"
"21","06","09","2025","5","HARYANA","ODISHA"
"23","06","09","2025","3374","HARYANA","MADHYA PRADESH"
"24","06","09","2025","9","HARYANA","GUJARAT"
"27","06","09","2025","11","HARYANA","MAHARASHTRA"
"29","06","09","2025","1","HARYANA","KARNATAKA"
"02","07","09","2025","57","DELHI","HIMACHAL PRADESH"
"05","07","09","2025","6396","DELHI","UTTARAKHAND"
"06","07","09","2025","4728","DELHI","HARYANA"
"08","07","09","2025","3123","DELHI","RAJASTHAN"
"09","07","09","2025","238754","DELHI","UTTAR PRADESH"
"10","07","09","2025","268625","DELHI","BIHAR"
"13","07","09","2025","3","DELHI","NAGALAND"
"16","07","09","2025","9","DELHI","TRIPURA"
"18","07","09","2025","527","DELHI","ASSAM"
"19","07","09","2025","1382","DELHI","WEST BENGAL"
"20","07","09","2025","3945","DELHI","JHARKHAND"
"21","07","09","2025","144","DELHI","ODISHA"
"23","07","09","2025","23337","DELHI","MADHYA PRADESH"
"24","07","09","2025","154","DELHI","GUJARAT"
"27","07","09","2025","193","DELHI","MAHARASHTRA"
"28","07","09","2025","21","DELHI","ANDHRA PRADESH"
"29","07","09","2025","9","DELHI","KARNATAKA"
"30","07","09","2025","1","DELHI","GOA"
"38","07","09","2025","1","DELHI","Dadar & Nagar Haveli & Daman & Diu"
"05","08","09","2025","6","RAJASTHAN","UTTARAKHAND"
"06","08","09","2025","634","RAJASTHAN","HARYANA"
"07","08","09","2025","187","RAJASTHAN","DELHI"
"09","08","09","2025","3845","RAJASTHAN","UTTAR PRADESH"
"10","08","09","2025","5928","RAJASTHAN","BIHAR"
"18","08","09","2025","8","RAJASTHAN","ASSAM"
"19","08","09","2025","20","RAJASTHAN","WEST BENGAL"
"20","08","09","2025","85","RAJASTHAN","JHARKHAND"
"21","08","09","2025","2","RAJASTHAN","ODISHA"
"23","08","09","2025","1805","RAJASTHAN","MADHYA PRADESH"
"24","08","09","2025","26","RAJASTHAN","GUJARAT"
"27","08","09","2025","14","RAJASTHAN","MAHARASHTRA"
"28","08","09","2025","1","RAJASTHAN","ANDHRA PRADESH"
"29","08","09","2025","5","RAJASTHAN","KARNATAKA"
"05","09","09","2025","117","UTTAR PRADESH","UTTARAKHAND"
"07","09","09","2025","2396","UTTAR PRADESH","DELHI"
"08","09","09","2025","121","UTTAR PRADESH","RAJASTHAN"
"10","09","09","2025","2308","UTTAR PRADESH","BIHAR"
"19","09","09","2025","21","UTTAR PRADESH","WEST BENGAL"
"20","09","09","2025","145","UTTAR PRADESH","JHARKHAND"
"21","09","09","2025","3","UTTAR PRADESH","ODISHA"
"23","09","09","2025","786","UTTAR PRADESH","MADHYA PRADESH"
"24","09","09","2025","79","UTTAR PRADESH","GUJARAT"
"27","09","09","2025","996","UTTAR PRADESH","MAHARASHTRA"
"29","09","09","2025","7","UTTAR PRADESH","KARNATAKA"
"38","09","09","2025","1","UTTAR PRADESH","Dadar & Nagar Haveli & Daman & Diu"
"05","10","09","2025","47","BIHAR","UTTARAKHAND"
"06","10","09","2025","735","BIHAR","HARYANA"
"07","10","09","2025","2859","BIHAR","DELHI"
"08","10","09","2025","56","BIHAR","RAJASTHAN"
"09","10","09","2025","1522","BIHAR","UTTAR PRADESH"
"13","10","09","2025","8","BIHAR","NAGALAND"
"16","10","09","2025","1","BIHAR","TRIPURA"
"18","10","09","2025","146","BIHAR","ASSAM"
"19","10","09","2025","164","BIHAR","WEST BENGAL"
"21","10","09","2025","9","BIHAR","ODISHA"
"23","10","09","2025","155","BIHAR","MADHYA PRADESH"
"24","10","09","2025","48","BIHAR","GUJARAT"
"27","10","09","2025","256","BIHAR","MAHARASHTRA"
"29","10","09","2025","20","BIHAR","KARNATAKA"
"09","11","09","2025","4","SIKKIM","UTTAR PRADESH"
"10","11","09","2025","124","SIKKIM","BIHAR"
"20","11","09","2025","1","SIKKIM","JHARKHAND"
"09","16","09","2025","1","TRIPURA","UTTAR PRADESH"
"10","16","09","2025","33","TRIPURA","BIHAR"
"18","16","09","2025","15","TRIPURA","ASSAM"
"19","16","09","2025","1","TRIPURA","WEST BENGAL"
"10","17","09","2025","21","MEGHALAYA","BIHAR"
"16","17","09","2025","1","MEGHALAYA","TRIPURA"
"18","17","09","2025","9","MEGHALAYA","ASSAM"
"19","17","09","2025","1","MEGHALAYA","WEST BENGAL"
"05","18","09","2025","1","ASSAM","UTTARAKHAND"
"07","18","09","2025","1","ASSAM","DELHI"
"09","18","09","2025","5","ASSAM","UTTAR PRADESH"
"10","18","09","2025","82","ASSAM","BIHAR"
"23","18","09","2025","1","ASSAM","MADHYA PRADESH"
"06","19","09","2025","5","WEST BENGAL","HARYANA"
"07","19","09","2025","61","WEST BENGAL","DELHI"
"08","19","09","2025","4","WEST BENGAL","RAJASTHAN"
"09","19","09","2025","354","WEST BENGAL","UTTAR PRADESH"
"10","19","09","2025","6879","WEST BENGAL","BIHAR"
"16","19","09","2025","2","WEST BENGAL","TRIPURA"
"18","19","09","2025","9","WEST BENGAL","ASSAM"
"20","19","09","2025","124","WEST BENGAL","JHARKHAND"
"21","19","09","2025","3","WEST BENGAL","ODISHA"
"23","19","09","2025","7","WEST BENGAL","MADHYA PRADESH"
"27","19","09","2025","9","WEST BENGAL","MAHARASHTRA"
"07","20","09","2025","8","JHARKHAND","DELHI"
"08","20","09","2025","2","JHARKHAND","RAJASTHAN"
"09","20","09","2025","61","JHARKHAND","UTTAR PRADESH"
"10","20","09","2025","915","JHARKHAND","BIHAR"
"18","20","09","2025","2","JHARKHAND","ASSAM"
"19","20","09","2025","1","JHARKHAND","WEST BENGAL"
"23","20","09","2025","3","JHARKHAND","MADHYA PRADESH"
"24","20","09","2025","1","JHARKHAND","GUJARAT"
"27","20","09","2025","4","JHARKHAND","MAHARASHTRA"
"06","22","09","2025","4","CHHATTISGARH","HARYANA"
"07","22","09","2025","5","CHHATTISGARH","DELHI"
"08","22","09","2025","4","CHHATTISGARH","RAJASTHAN"
"09","22","09","2025","183","CHHATTISGARH","UTTAR PRADESH"
"10","22","09","2025","333","CHHATTISGARH","BIHAR"
"19","22","09","2025","3","CHHATTISGARH","WEST BENGAL"
"20","22","09","2025","53","CHHATTISGARH","JHARKHAND"
"23","22","09","2025","153","CHHATTISGARH","MADHYA PRADESH"
"24","22","09","2025","1","CHHATTISGARH","GUJARAT"
"27","22","09","2025","15","CHHATTISGARH","MAHARASHTRA"
"02","23","09","2025","1","MADHYA PRADESH","HIMACHAL PRADESH"
"05","23","09","2025","2","MADHYA PRADESH","UTTARAKHAND"
"07","23","09","2025","39","MADHYA PRADESH","DELHI"
"08","23","09","2025","54","MADHYA PRADESH","RAJASTHAN"
"09","23","09","2025","697","MADHYA PRADESH","UTTAR PRADESH"
"10","23","09","2025","598","MADHYA PRADESH","BIHAR"
"20","23","09","2025","13","MADHYA PRADESH","JHARKHAND"
"21","23","09","2025","2","MADHYA PRADESH","ODISHA"
"24","23","09","2025","6","MADHYA PRADESH","GUJARAT"
"27","23","09","2025","58","MADHYA PRADESH","MAHARASHTRA"
"05","24","09","2025","25","GUJARAT","UTTARAKHAND"
"06","24","09","2025","8","GUJARAT","HARYANA"
"07","24","09","2025","56","GUJARAT","DELHI"
"08","24","09","2025","920","GUJARAT","RAJASTHAN"
"09","24","09","2025","7056","GUJARAT","UTTAR PRADESH"
"10","24","09","2025","6088","GUJARAT","BIHAR"
"16","24","09","2025","1","GUJARAT","TRIPURA"
"18","24","09","2025","9","GUJARAT","ASSAM"
"19","24","09","2025","2","GUJARAT","WEST BENGAL"
"20","24","09","2025","169","GUJARAT","JHARKHAND"
"21","24","09","2025","22","GUJARAT","ODISHA"
"23","24","09","2025","3339","GUJARAT","MADHYA PRADESH"
"27","24","09","2025","733","GUJARAT","MAHARASHTRA"
"28","24","09","2025","1","GUJARAT","ANDHRA PRADESH"
"29","24","09","2025","5","GUJARAT","KARNATAKA"
"30","24","09","2025","1","GUJARAT","GOA"
"38","24","09","2025","7","GUJARAT","Dadar & Nagar Haveli & Daman & Diu"
"05","27","09","2025","87","MAHARASHTRA","UTTARAKHAND"
"06","27","09","2025","17","MAHARASHTRA","HARYANA"
"07","27","09","2025","96","MAHARASHTRA","DELHI"
"08","27","09","2025","784","MAHARASHTRA","RAJASTHAN"
"09","27","09","2025","48090","MAHARASHTRA","UTTAR PRADESH"
"10","27","09","2025","30491","MAHARASHTRA","BIHAR"
"16","27","09","2025","1","MAHARASHTRA","TRIPURA"
"18","27","09","2025","86","MAHARASHTRA","ASSAM"
"19","27","09","2025","223","MAHARASHTRA","WEST BENGAL"
"20","27","09","2025","1829","MAHARASHTRA","JHARKHAND"
"21","27","09","2025","27","MAHARASHTRA","ODISHA"
"23","27","09","2025","1282","MAHARASHTRA","MADHYA PRADESH"
"24","27","09","2025","248","MAHARASHTRA","GUJARAT"
"28","27","09","2025","33","MAHARASHTRA","ANDHRA PRADESH"
"29","27","09","2025","258","MAHARASHTRA","KARNATAKA"
"30","27","09","2025","2","MAHARASHTRA","GOA"
"38","27","09","2025","4","MAHARASHTRA","Dadar & Nagar Haveli & Daman & Diu"
"05","28","09","2025","1","ANDHRA PRADESH","UTTARAKHAND"
"09","28","09","2025","4","ANDHRA PRADESH","UTTAR PRADESH"
"10","28","09","2025","19","ANDHRA PRADESH","BIHAR"
"19","28","09","2025","1","ANDHRA PRADESH","WEST BENGAL"
"23","28","09","2025","2","ANDHRA PRADESH","MADHYA PRADESH"
"24","28","09","2025","1","ANDHRA PRADESH","GUJARAT"
"27","28","09","2025","3","ANDHRA PRADESH","MAHARASHTRA"
"29","28","09","2025","4","ANDHRA PRADESH","KARNATAKA"
"08","29","09","2025","1","KARNATAKA","RAJASTHAN"
"09","29","09","2025","72","KARNATAKA","UTTAR PRADESH"
"10","29","09","2025","319","KARNATAKA","BIHAR"
"18","29","09","2025","13","KARNATAKA","ASSAM"
"19","29","09","2025","1","KARNATAKA","WEST BENGAL"
"20","29","09","2025","9","KARNATAKA","JHARKHAND"
"21","29","09","2025","3","KARNATAKA","ODISHA"
"23","29","09","2025","21","KARNATAKA","MADHYA PRADESH"
"24","29","09","2025","3","KARNATAKA","GUJARAT"
"27","29","09","2025","20","KARNATAKA","MAHARASHTRA"
"28","29","09","2025","6","KARNATAKA","ANDHRA PRADESH"
"05","30","09","2025","6","GOA","UTTARAKHAND"
"06","30","09","2025","2","GOA","HARYANA"
"07","30","09","2025","4","GOA","DELHI"
"08","30","09","2025","12","GOA","RAJASTHAN"
"09","30","09","2025","1108","GOA","UTTAR PRADESH"
"10","30","09","2025","1021","GOA","BIHAR"
"18","30","09","2025","36","GOA","ASSAM"
"19","30","09","2025","16","GOA","WEST BENGAL"
"20","30","09","2025","82","GOA","JHARKHAND"
"23","30","09","2025","138","GOA","MADHYA PRADESH"
"27","30","09","2025","119","GOA","MAHARASHTRA"
"28","30","09","2025","4","GOA","ANDHRA PRADESH"
"29","30","09","2025","359","GOA","KARNATAKA"
"05","32","09","2025","5","KERALA","UTTARAKHAND"
"06","32","09","2025","2","KERALA","HARYANA"
"07","32","09","2025","14","KERALA","DELHI"
"08","32","09","2025","17","KERALA","RAJASTHAN"
"09","32","09","2025","443","KERALA","UTTAR PRADESH"
"10","32","09","2025","1324","KERALA","BIHAR"
"16","32","09","2025","1","KERALA","TRIPURA"
"18","32","09","2025","724","KERALA","ASSAM"
"19","32","09","2025","349","KERALA","WEST BENGAL"
"20","32","09","2025","281","KERALA","JHARKHAND"
"21","32","09","2025","6","KERALA","ODISHA"
"23","32","09","2025","379","KERALA","MADHYA PRADESH"
"24","32","09","2025","4","KERALA","GUJARAT"
"27","32","09","2025","78","KERALA","MAHARASHTRA"
"28","32","09","2025","23","KERALA","ANDHRA PRADESH"
"29","32","09","2025","249","KERALA","KARNATAKA"
"30","32","09","2025","1","KERALA","GOA"
"38","32","09","2025","1","KERALA","Dadar & Nagar Haveli & Daman & Diu"
"06","33","09","2025","6","TAMIL NADU","HARYANA"
"07","33","09","2025","1","TAMIL NADU","DELHI"
"09","33","09","2025","5","TAMIL NADU","UTTAR PRADESH"
"10","33","09","2025","115","TAMIL NADU","BIHAR"
"20","33","09","2025","10","TAMIL NADU","JHARKHAND"
"29","33","09","2025","2","TAMIL NADU","KARNATAKA"
"05","36","09","2025","2","TELANGANA","UTTARAKHAND"
"06","36","09","2025","15","TELANGANA","HARYANA"
"07","36","09","2025","14","TELANGANA","DELHI"
"08","36","09","2025","34","TELANGANA","RAJASTHAN"
"09","36","09","2025","314","TELANGANA","UTTAR PRADESH"
"10","36","09","2025","3298","TELANGANA","BIHAR"
"16","36","09","2025","3","TELANGANA","TRIPURA"
"18","36","09","2025","31","TELANGANA","ASSAM"
"19","36","09","2025","16","TELANGANA","WEST BENGAL"
"20","36","09","2025","28","TELANGANA","JHARKHAND"
"21","36","09","2025","1","TELANGANA","ODISHA"
"23","36","09","2025","344","TELANGANA","MADHYA PRADESH"
"24","36","09","2025","4","TELANGANA","GUJARAT"
"27","36","09","2025","1344","TELANGANA","MAHARASHTRA"
"28","36","09","2025","707","TELANGANA","ANDHRA PRADESH"
"29","36","09","2025","383","TELANGANA","KARNATAKA"
"02","37","09","2025","1","LADAKH","HIMACHAL PRADESH"
"08","37","09","2025","1","LADAKH","RAJASTHAN"
"10","37","09","2025","5","LADAKH","BIHAR"
"05","38","09","2025","9","Dadar & Nagar Haveli & Daman & Diu","UTTARAKHAND"
"07","38","09","2025","5","Dadar & Nagar Haveli & Daman & Diu","DELHI"
"08","38","09","2025","42","Dadar & Nagar Haveli & Daman & Diu","RAJASTHAN"
"09","38","09","2025","2742","Dadar & Nagar Haveli & Daman & Diu","UTTAR PRADESH"
"10","38","09","2025","4589","Dadar & Nagar Haveli & Daman & Diu","BIHAR"
"18","38","09","2025","21","Dadar & Nagar Haveli & Daman & Diu","ASSAM"
"19","38","09","2025","15","Dadar & Nagar Haveli & Daman & Diu","WEST BENGAL"
"20","38","09","2025","194","Dadar & Nagar Haveli & Daman & Diu","JHARKHAND"
"21","38","09","2025","14","Dadar & Nagar Haveli & Daman & Diu","ODISHA"
"23","38","09","2025","576","Dadar & Nagar Haveli & Daman & Diu","MADHYA PRADESH"
"24","38","09","2025","494","Dadar & Nagar Haveli & Daman & Diu","GUJARAT"
"27","38","09","2025","443","Dadar & Nagar Haveli & Daman & Diu","MAHARASHTRA"
"29","38","09","2025","4","Dadar & Nagar Haveli & Daman & Diu","KARNATAKA"
